ID,Age,AgeClass,Education,MaritalStatus,Children,Income,IncomeClass,Wines,Fruits,Meat,Fish,Sweet,Gold,TotalExpense,NumWeb,NumCatalog,NumStore,Cmp1,Cmp2
2225,48,Ger.X-BB,Graduation,Divorced,0,82582.0,High,510,120,550,156,40,241,1617,4,9,7,1,0
9381,47,Ger.X-BB,Graduation,Married,2,66373.0,Medium,328,9,124,12,24,109,606,4,2,10,0,0
6260,70,BB-Others,Master,Together,0,82384.0,High,984,51,432,180,120,190,1957,3,10,13,0,0
10383,59,BB-Others,Graduation,Divorced,0,70287.0,High,295,35,482,121,120,40,1093,5,5,10,0,0
7437,37,Ger.X,Graduation,Single,1,27938.0,Very Low,13,0,8,2,1,5,29,1,0,4,0,0
8557,43,Ger.X,Graduation,Single,1,51381.5,Low,11,3,22,2,2,6,46,2,0,3,0,0
8375,57,BB-Others,PhD,Married,1,55954.0,Medium,447,0,28,0,0,43,518,8,2,6,0,0
6853,43,Ger.X,Master,Single,0,75777.0,High,712,26,538,69,13,80,1438,3,6,11,0,0
3076,50,Ger.X-BB,Graduation,Together,2,66653.0,Medium,452,18,102,16,18,6,612,4,2,12,0,0
1012,73,BB-Others,Graduation,Single,1,61823.0,Medium,523,7,134,37,14,169,884,8,2,10,0,0
6518,74,BB-Others,PhD,Widow,1,67680.0,Medium,546,0,48,0,6,6,606,7,3,8,0,0
4137,77,BB-Others,Graduation,Together,0,70666.0,High,398,40,367,119,122,30,1076,7,4,4,0,0
8082,54,Ger.X-BB,Graduation,Married,1,25721.0,Very Low,1,3,6,3,6,15,34,1,1,2,0,0
1386,58,BB-Others,Graduation,Together,2,32474.0,Very Low,10,0,1,0,0,0,11,1,0,2,0,0
9369,46,Ger.X-BB,2n Cycle,Single,1,88194.0,High,688,14,309,201,24,38,1274,11,10,10,1,0
4477,67,BB-Others,Graduation,Together,1,69096.0,High,247,49,159,7,82,109,653,5,2,10,0,0
1357,55,BB-Others,Graduation,Together,3,74854.0,High,856,59,487,58,29,73,1562,2,5,5,0,0
1402,71,BB-Others,Master,Married,0,66991.0,Medium,496,36,460,189,60,12,1253,4,8,6,0,0
10629,52,Ger.X-BB,2n Cycle,Married,1,51381.5,Low,25,3,43,17,4,17,109,3,0,3,0,0
6312,66,BB-Others,Graduation,Married,1,65031.0,Medium,258,107,291,84,37,86,863,10,3,13,0,0
8132,50,Ger.X-BB,PhD,Married,2,60631.0,Medium,565,6,65,0,6,19,661,9,2,8,0,0
1050,73,BB-Others,Graduation,Married,0,28332.0,Very Low,14,10,13,4,15,9,65,2,1,4,0,0
5846,48,Ger.X-BB,Graduation,Divorced,1,40246.0,Low,2,1,6,2,1,1,13,1,0,2,0,0
1859,53,Ger.X-BB,Master,Married,0,75251.0,High,721,111,925,97,18,18,1890,7,6,5,0,0
7503,49,Ger.X-BB,Graduation,Single,0,75825.0,High,1032,105,779,137,105,51,2209,5,8,9,0,0
10401,49,Ger.X-BB,2n Cycle,Together,0,26326.0,Very Low,1,0,5,0,3,9,18,0,0,3,0,0
1618,60,BB-Others,Graduation,Together,0,56046.0,Medium,577,0,64,0,0,51,692,10,1,8,0,0
3332,40,Ger.X,Graduation,Single,1,29760.0,Very Low,64,4,68,7,5,17,165,3,1,4,0,0
2261,56,BB-Others,Graduation,Married,1,26304.0,Very Low,4,1,5,2,0,4,16,1,0,2,0,0
5346,52,Ger.X-BB,2n Cycle,Married,1,23559.0,Very Low,25,5,19,7,0,23,79,3,0,3,0,0
4119,62,BB-Others,Master,Together,0,38620.0,Low,112,17,44,34,22,89,318,2,5,3,0,0
535,38,Ger.X,Graduation,Divorced,0,81361.0,High,163,23,424,27,65,76,778,3,10,13,0,0
5268,65,BB-Others,Graduation,Married,2,29440.0,Very Low,17,8,14,10,4,3,56,1,0,4,0,0
273,55,BB-Others,Master,Married,2,36138.0,Low,130,0,16,0,0,5,151,3,1,4,0,0
4452,68,BB-Others,Graduation,Single,1,50388.0,Low,292,6,37,0,3,34,372,6,1,6,1,0
8504,52,Ger.X-BB,Graduation,Married,0,79593.0,High,350,60,568,110,133,145,1366,5,6,7,0,0
771,58,BB-Others,Graduation,Together,1,54178.0,Medium,135,9,39,4,0,7,194,2,2,5,0,0
8996,68,BB-Others,PhD,Married,3,51381.5,Low,230,42,192,49,37,53,603,7,2,8,0,0
9235,68,BB-Others,Graduation,Single,2,51381.5,Low,7,0,8,2,0,1,18,1,0,2,0,0
5798,52,Ger.X-BB,Master,Together,0,51381.5,Low,445,37,359,98,28,18,985,2,4,8,0,0
11178,53,Ger.X-BB,Master,Single,1,42394.0,Low,15,2,10,0,1,4,32,1,0,3,0,0
2230,55,BB-Others,PhD,Married,1,23626.0,Very Low,27,2,14,0,0,0,43,3,1,3,0,0
7516,42,Ger.X,Graduation,Married,1,30096.0,Very Low,5,3,11,12,5,9,45,2,0,3,0,0
7247,65,BB-Others,Graduation,Widow,1,47916.0,Low,505,0,26,0,0,75,606,7,4,6,0,0
11100,53,Ger.X-BB,Graduation,Divorced,2,51813.0,Medium,51,2,7,0,1,2,63,2,0,3,0,0
4646,74,BB-Others,2n Cycle,Married,0,78497.0,High,207,26,447,75,0,223,978,5,7,12,1,0
3037,42,Ger.X,PhD,Married,0,50150.0,Low,135,46,92,65,61,11,410,5,2,7,0,0
1473,65,BB-Others,2n Cycle,Single,1,47823.0,Low,53,1,5,2,1,10,72,2,0,3,0,0
1016,66,BB-Others,PhD,Single,1,34554.0,Very Low,41,1,6,2,0,5,55,2,0,3,0,0
4518,46,Ger.X-BB,Graduation,Together,1,85693.0,High,386,172,183,185,132,111,1169,9,5,11,0,0
9370,80,BB-Others,PhD,Married,0,65846.0,Medium,562,81,276,80,40,81,1120,6,3,6,0,0
8908,66,BB-Others,Graduation,Married,0,87195.0,High,217,76,690,50,26,38,1097,3,11,5,0,0
8373,46,Ger.X-BB,Basic,Together,1,24594.0,Very Low,1,3,6,10,0,9,29,1,0,3,0,0
7533,61,BB-Others,Graduation,Married,2,49096.0,Low,144,1,32,2,1,7,187,4,1,4,0,0
2683,56,BB-Others,Graduation,Married,2,52413.0,Medium,295,106,271,75,98,65,910,6,4,12,0,0
3629,47,Ger.X-BB,Graduation,Single,1,38557.0,Low,76,3,31,4,4,27,145,3,1,3,0,0
10991,65,BB-Others,Master,Married,0,89058.0,High,454,194,106,31,22,43,850,5,4,4,0,0
5077,46,Ger.X-BB,Graduation,Together,1,77298.0,High,425,115,292,23,35,79,969,6,6,11,0,0
7431,34,Milennials,PhD,Single,0,68126.0,Medium,1332,17,311,23,51,86,1820,7,4,5,0,0
3267,62,BB-Others,Master,Together,1,57288.0,Medium,527,0,21,0,0,60,608,8,1,8,0,0
999,34,Milennials,Graduation,Single,0,86037.0,High,490,44,125,29,20,22,730,6,7,11,0,0
9215,45,Ger.X-BB,PhD,Married,1,43974.0,Low,378,0,101,0,0,72,551,6,4,6,0,0
2286,63,BB-Others,Graduation,Single,2,50785.0,Low,64,1,21,0,1,27,114,2,1,3,0,0
1592,55,BB-Others,Graduation,Married,0,90765.0,High,547,99,812,151,82,33,1724,4,6,5,1,0
367,47,Ger.X-BB,2n Cycle,Married,1,36550.0,Low,47,90,94,123,103,120,577,9,1,5,0,0
5234,58,BB-Others,2n Cycle,Together,2,30753.0,Very Low,12,5,25,0,9,30,81,1,1,3,0,0
9862,56,BB-Others,Graduation,Together,1,21918.0,Very Low,1,6,7,11,5,3,33,2,0,3,0,0
9805,72,BB-Others,Master,Together,1,56129.0,Medium,320,48,133,39,72,48,660,6,2,10,0,0
6205,58,BB-Others,Master,Single,1,32557.0,Very Low,34,3,29,0,4,10,80,2,1,3,0,0
8442,40,Ger.X,Master,Married,2,19510.0,Very Low,9,0,7,3,4,7,30,1,0,3,0,0
7386,49,Ger.X-BB,Graduation,Divorced,1,30992.0,Very Low,17,0,14,7,3,2,43,1,0,3,0,0
7215,42,Ger.X,Graduation,Single,0,94384.0,High,722,27,102,44,72,168,1135,6,8,13,1,0
1491,60,BB-Others,2n Cycle,Together,0,71488.0,High,162,33,124,40,28,172,559,3,4,7,0,0
11071,41,Ger.X,Graduation,Single,0,79607.0,High,450,133,951,173,0,216,1923,3,6,6,0,0
3381,72,BB-Others,Master,Married,2,54348.0,Medium,70,0,16,0,0,4,90,2,0,4,0,0
8268,64,BB-Others,PhD,Married,1,51381.5,Low,352,0,27,10,0,15,404,6,1,7,0,0
11051,69,BB-Others,PhD,Together,2,77376.0,High,492,19,110,16,12,12,661,6,3,10,0,0
8026,73,BB-Others,Graduation,Married,1,62998.0,Medium,120,58,73,65,89,58,463,5,4,5,0,0
433,67,BB-Others,Master,Single,2,61331.0,Medium,534,5,47,0,5,41,632,11,1,6,0,0
9597,56,BB-Others,Graduation,Married,0,73448.0,High,236,106,189,23,41,130,725,7,2,9,0,0
1295,62,BB-Others,Graduation,Married,1,51381.5,Low,231,65,196,38,71,124,725,6,5,7,0,0
5290,61,BB-Others,PhD,Married,2,41551.0,Low,220,0,33,3,0,23,279,5,1,5,0,0
1685,58,BB-Others,PhD,Together,0,62981.0,Medium,796,14,590,38,44,0,1482,4,5,13,0,0
5342,49,Ger.X-BB,Basic,Divorced,1,9548.0,Very Low,0,1,3,10,6,9,29,1,0,3,0,0
9579,66,BB-Others,PhD,Married,3,33762.0,Very Low,53,1,34,2,0,16,106,2,2,2,0,0
7660,52,Ger.X-BB,PhD,Single,2,35860.0,Low,15,0,8,4,2,20,49,1,1,2,0,0
1461,60,BB-Others,PhD,Divorced,2,36921.0,Low,17,1,12,3,1,4,38,2,0,3,0,0
821,33,Milennials,Master,Single,0,92859.0,High,962,61,921,52,61,20,2077,5,4,12,0,0
11084,49,Ger.X-BB,Master,Together,1,65104.0,Medium,738,0,232,13,20,50,1053,3,5,7,0,0
8690,63,BB-Others,Graduation,Married,0,86111.0,High,399,28,756,36,40,126,1385,5,7,10,0,0
2937,51,Ger.X-BB,PhD,Single,1,68352.0,High,614,16,132,43,33,33,871,8,5,9,0,0
9701,37,Ger.X,Graduation,Together,1,41883.0,Low,32,34,41,73,16,116,312,4,2,3,0,0
9949,49,Ger.X-BB,Graduation,Married,2,59809.0,Medium,598,16,141,32,41,49,877,3,3,6,0,0
10837,50,Ger.X-BB,Graduation,Married,1,23957.0,Very Low,2,1,18,20,11,16,68,2,0,3,0,0
3120,44,Ger.X,Graduation,Together,1,38547.0,Low,6,1,10,0,1,4,22,1,0,2,0,0
5885,52,Ger.X-BB,2n Cycle,Married,3,35688.0,Low,73,3,90,12,1,32,211,4,1,4,0,0
4050,59,BB-Others,Master,Married,0,49605.0,Low,42,16,29,12,20,8,127,2,1,4,0,0
3830,72,BB-Others,Master,Married,2,59354.0,Medium,295,21,78,39,13,13,459,4,4,7,0,0
7987,56,BB-Others,Graduation,Married,1,65747.0,Medium,346,17,48,23,13,13,460,8,1,6,0,0
7798,53,Ger.X-BB,2n Cycle,Together,1,46344.0,Low,233,20,57,8,20,91,429,7,1,5,0,0
92,37,Ger.X,Graduation,Single,1,34176.0,Very Low,5,7,24,19,14,20,89,3,0,4,0,0
7055,73,BB-Others,PhD,Together,1,61010.0,Medium,888,0,57,0,0,76,1021,8,5,11,0,0
10240,76,BB-Others,Graduation,Together,0,69372.0,High,997,26,269,34,13,42,1381,10,4,6,0,0
3025,67,BB-Others,Graduation,Single,1,49967.0,Low,212,6,69,4,12,3,306,6,1,5,0,0
9283,47,Ger.X-BB,Graduation,Single,3,60199.0,Medium,8,1,7,2,0,0,18,0,0,3,0,0
9970,48,Ger.X-BB,Graduation,Together,1,55375.0,Medium,42,11,57,10,28,14,162,1,1,6,0,0
2730,70,BB-Others,Graduation,Single,0,80317.0,High,536,11,387,149,91,57,1231,3,4,10,0,0
2795,67,BB-Others,Master,Single,3,30523.0,Very Low,5,0,3,0,0,5,13,1,0,2,0,0
9260,80,BB-Others,PhD,Married,0,70356.0,High,1349,16,249,43,16,33,1706,10,6,9,0,0
8182,41,Ger.X,Graduation,Married,1,23228.0,Very Low,53,3,49,7,4,5,121,3,0,4,0,0
10095,50,Ger.X-BB,PhD,Divorced,0,74165.0,High,1001,12,240,16,12,12,1293,5,4,10,0,0
8475,52,Ger.X-BB,PhD,Married,1,94384.0,High,20,2,1582,1,2,1,1608,0,22,0,0,0
4370,59,BB-Others,Graduation,Together,3,43482.0,Low,18,1,32,6,3,28,88,2,0,4,0,0
10573,72,BB-Others,Graduation,Divorced,0,62551.0,Medium,125,16,98,134,21,27,421,6,7,4,0,0
3712,66,BB-Others,Graduation,Divorced,0,52332.0,Medium,212,5,33,7,0,2,259,3,2,6,0,0
6637,37,Ger.X,Graduation,Single,0,66951.0,Medium,277,162,305,173,76,124,1117,3,4,7,0,0
3152,68,BB-Others,Graduation,Together,2,26091.0,Very Low,15,10,19,8,17,20,89,2,1,3,0,0
5610,60,BB-Others,Graduation,Together,2,33456.0,Very Low,7,3,10,8,1,7,36,1,0,3,0,0
6460,43,Ger.X,Graduation,Married,1,28718.0,Very Low,12,4,6,11,8,16,57,2,0,3,0,0
1349,55,BB-Others,Graduation,Married,2,50447.0,Low,85,7,24,2,3,27,148,3,1,3,0,0
1880,66,BB-Others,PhD,Together,2,53537.0,Medium,81,0,6,0,0,6,93,2,1,3,0,0
641,58,BB-Others,Graduation,Single,1,52074.0,Medium,59,0,12,0,0,48,119,2,2,2,0,0
8717,50,Ger.X-BB,PhD,Married,1,80427.0,High,1149,71,449,69,71,26,1835,11,8,8,0,0
10314,77,BB-Others,PhD,Married,0,83837.0,High,847,66,119,86,89,111,1318,9,10,5,1,0
10854,55,BB-Others,PhD,Married,2,38853.0,Low,29,0,14,0,0,2,45,2,0,3,0,0
10492,66,BB-Others,Graduation,Together,3,38285.0,Low,2,0,5,2,0,1,10,0,0,3,0,0
6935,74,BB-Others,2n Cycle,Married,0,78497.0,High,207,26,447,75,0,223,978,5,7,12,1,0
7698,49,Ger.X-BB,PhD,Married,1,51650.0,Medium,152,3,22,2,5,7,191,4,1,4,0,0
3559,37,Ger.X,2n Cycle,Married,1,16248.0,Very Low,12,11,10,3,12,9,57,2,1,3,0,0
10562,79,BB-Others,Master,Married,0,66835.0,Medium,620,26,195,34,17,141,1033,6,4,13,0,0
10796,41,Ger.X,Master,Married,1,30477.0,Very Low,47,1,6,0,0,12,66,1,1,3,0,0
2563,64,BB-Others,Basic,Married,0,28249.0,Very Low,1,9,7,2,14,10,43,2,0,3,0,0
3518,42,Ger.X,Graduation,Married,1,25271.0,Very Low,10,1,18,10,4,7,50,1,1,2,0,0
5823,55,BB-Others,PhD,Single,1,32303.0,Very Low,35,0,2,0,0,2,39,1,0,4,0,0
3934,59,BB-Others,Graduation,Married,1,61286.0,Medium,356,0,107,19,9,117,608,7,1,8,0,0
6982,49,Ger.X-BB,Graduation,Married,0,74068.0,High,783,30,537,140,76,15,1581,4,10,9,0,0
6431,61,BB-Others,PhD,Married,2,45759.0,Low,42,1,18,3,0,4,68,2,0,3,0,0
9733,47,Ger.X-BB,Basic,Together,1,24882.0,Very Low,1,4,10,29,0,36,80,1,1,2,0,0
5602,36,Ger.X,PhD,Together,0,66973.0,Medium,466,22,432,147,113,102,1282,8,7,12,0,0
1324,37,Ger.X,Graduation,Married,1,38872.0,Low,23,3,21,3,19,22,91,3,0,3,0,0
326,52,Ger.X-BB,Graduation,Married,2,51148.0,Low,235,6,45,8,9,12,315,5,1,6,0,0
7224,48,Ger.X-BB,Graduation,Married,2,31353.0,Very Low,10,0,10,3,1,7,31,1,1,2,0,0
6999,45,Ger.X-BB,Master,Married,0,69661.0,High,656,16,106,32,16,8,834,7,3,12,0,0
9938,71,BB-Others,Graduation,Married,0,80067.0,High,519,17,813,27,173,51,1600,4,6,6,0,0
6422,71,BB-Others,Graduation,Married,0,86718.0,High,344,189,482,50,33,172,1270,5,6,5,0,0
3182,52,Ger.X-BB,PhD,Single,2,46854.0,Low,96,1,79,7,1,79,263,5,1,3,0,0
7300,73,BB-Others,Graduation,Divorced,1,69142.0,High,448,4,34,6,4,39,535,8,1,7,0,0
10424,57,BB-Others,Graduation,Single,0,75922.0,High,265,138,553,224,23,92,1295,4,4,9,0,0
8727,47,Ger.X-BB,Graduation,Divorced,1,63693.0,Medium,587,43,337,42,87,54,1150,11,6,9,0,0
2798,48,Ger.X-BB,PhD,Together,0,94384.0,High,763,29,138,76,176,58,1240,7,9,10,1,0
1030,60,BB-Others,PhD,Single,2,40637.0,Low,22,0,13,0,0,3,38,1,0,3,0,0
624,41,Ger.X,Master,Single,0,18890.0,Very Low,6,4,1,7,2,15,35,0,1,2,0,0
5176,37,Ger.X,Graduation,Together,1,29604.0,Very Low,7,6,13,7,6,14,53,1,0,3,0,0
5552,62,BB-Others,Master,Divorced,2,48721.0,Low,81,18,113,47,13,21,293,4,2,5,0,0
868,59,BB-Others,Graduation,Married,1,44794.0,Low,54,0,7,0,0,4,65,2,0,3,0,0
380,71,BB-Others,Graduation,Divorced,1,64497.0,Medium,1170,48,320,42,32,192,1804,11,4,9,0,0
2677,69,BB-Others,Graduation,Together,1,46097.0,Low,72,24,68,65,4,8,241,3,1,6,0,0
6521,71,BB-Others,Graduation,Together,0,77972.0,High,613,22,319,33,102,12,1101,4,6,9,0,0
6927,57,BB-Others,PhD,Married,2,44377.0,Low,224,0,30,0,0,10,264,5,1,5,0,0
2877,51,Ger.X-BB,Master,Together,2,46014.0,Low,410,0,59,19,9,44,541,7,1,8,0,0
0,40,Ger.X,Graduation,Married,0,70951.0,High,239,10,554,254,87,54,1198,3,4,9,0,0
1584,48,Ger.X-BB,Graduation,Married,1,41443.0,Low,171,7,171,25,19,89,482,8,1,5,0,0
7264,47,Ger.X-BB,2n Cycle,Single,3,52195.0,Medium,12,0,4,0,0,1,17,1,0,2,0,0
6274,77,BB-Others,Master,Married,0,83790.0,High,1076,16,417,42,48,16,1615,8,10,6,0,0
1377,71,BB-Others,Master,Widow,1,44551.0,Low,182,4,33,0,0,66,285,4,1,5,0,0
454,45,Ger.X-BB,Graduation,Together,1,69508.0,High,824,32,162,42,32,43,1135,11,4,11,0,0
1755,37,Ger.X,2n Cycle,Together,1,45204.0,Low,30,11,25,29,1,18,114,1,1,4,0,0
2075,56,BB-Others,Graduation,Married,0,72460.0,High,377,10,540,80,30,10,1047,3,5,7,0,0
4785,55,BB-Others,PhD,Together,2,77622.0,High,520,7,154,19,0,14,714,6,3,11,0,0
9076,45,Ger.X-BB,PhD,Married,1,30732.0,Very Low,155,1,25,0,1,3,185,4,1,4,0,0
7079,63,BB-Others,Graduation,Divorced,1,63887.0,Medium,897,23,207,15,11,92,1245,9,6,12,0,0
4653,47,Ger.X-BB,Graduation,Together,1,42011.0,Low,131,0,16,2,1,39,189,3,1,4,0,0
7375,49,Ger.X-BB,Graduation,Together,1,51369.0,Low,297,7,79,0,11,182,576,8,2,4,0,0
709,73,BB-Others,Graduation,Divorced,1,51537.0,Medium,787,20,204,0,0,92,1103,2,2,11,0,0
460,53,Ger.X-BB,PhD,Married,0,79930.0,High,792,86,740,67,51,17,1753,3,5,8,0,0
3726,39,Ger.X,PhD,Together,1,34320.0,Very Low,4,1,9,3,0,0,17,1,0,2,0,0
6798,59,BB-Others,Graduation,Single,2,37070.0,Low,231,7,137,4,15,39,433,5,1,8,0,0
5341,63,BB-Others,2n Cycle,Divorced,1,81975.0,High,983,76,184,180,138,27,1588,6,3,4,0,0
1606,54,Ger.X-BB,Graduation,Together,1,38590.0,Low,3,1,8,4,3,3,22,1,0,2,0,0
9617,74,BB-Others,Graduation,Single,0,15033.0,Very Low,0,4,5,6,0,4,19,1,0,3,0,0
3233,60,BB-Others,PhD,Married,1,62745.0,Medium,562,21,464,28,10,32,1117,7,8,11,0,0
89,50,Ger.X-BB,2n Cycle,Married,1,22212.0,Very Low,5,9,20,6,8,21,69,2,0,4,0,0
2936,43,Ger.X,Master,Together,1,23661.0,Very Low,18,0,4,0,0,1,23,1,0,3,0,0
9449,67,BB-Others,PhD,Single,1,79761.0,High,415,5,124,15,35,11,605,5,2,11,0,0
7297,52,Ger.X-BB,Graduation,Single,1,7705.92,Very Low,5,3,10,12,7,20,57,3,1,3,0,0
313,57,BB-Others,Graduation,Widow,0,73455.0,High,901,61,757,186,163,20,2088,6,5,10,0,0
9940,67,BB-Others,Graduation,Together,1,64961.0,Medium,382,114,276,75,124,38,1009,6,4,4,0,0
10735,54,Ger.X-BB,Graduation,Single,1,22804.0,Very Low,14,1,7,2,1,1,26,2,0,2,0,0
9529,35,Ger.X,Graduation,Married,0,73687.0,High,559,153,503,218,13,181,1627,3,9,9,1,0
6439,67,BB-Others,Graduation,Married,1,61074.0,Medium,789,0,133,0,28,152,1102,11,5,8,0,0
7411,61,BB-Others,PhD,Married,2,31686.0,Very Low,11,0,5,0,0,1,17,1,0,3,0,0
2176,53,Ger.X-BB,Graduation,Married,1,80134.0,High,1218,16,272,104,0,80,1690,5,3,6,1,0
9265,72,BB-Others,Graduation,Married,1,75027.0,High,925,64,179,133,12,77,1390,9,4,6,0,0
8867,37,Ger.X,PhD,Married,0,67546.0,Medium,864,134,768,150,38,172,2126,4,10,5,0,0
8932,56,BB-Others,Master,Together,1,65176.0,Medium,960,28,183,220,70,70,1531,9,6,6,0,0
10236,50,Ger.X-BB,Master,Single,1,31160.0,Very Low,16,3,25,6,1,13,64,2,0,3,0,0
6340,40,Ger.X,Graduation,Single,1,29938.0,Very Low,3,3,7,0,2,11,26,1,0,3,0,0
10089,51,Ger.X-BB,Graduation,Divorced,0,94384.0,High,168,148,444,32,172,148,1112,6,9,13,1,1
2227,67,BB-Others,2n Cycle,Together,0,26490.0,Very Low,45,47,52,21,20,25,210,3,1,5,0,0
10992,58,BB-Others,Graduation,Together,2,75702.0,High,650,28,353,45,42,30,1148,4,6,11,0,0
